id;name;guid;last;federalDistrict;guidCountry
19;Калининградская область;90c7181e-724f-41b3-b6c6-bd3ec7ae3f30;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
46;Свердловская область;92b30014-4d52-4e2e-892d-928142b924bf;Y;6;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
43;Рязанская область;963073ee-4dfc-48bd-9a70-d2dfc6bd1f31;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
55;Ярославская область;a84b2ef4-db03-474b-b552-6229e801ae9b;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
57;Республика Бурятия;a84ebed3-153d-4ba9-8532-8bdf879e1f5a;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
48;Тамбовская область;a9a71961-9363-44ba-91b5-ddf0463aebc2;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
45;Сахалинская область;aea6280f-4648-460f-b8be-c2bc18923191;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
53;Забайкальский край;b6ba5716-eb48-401b-8443-b197c9578734;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
15;Воронежская область;b756fe6b-bbd3-44d5-9302-5bfcc740f46e;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
12;Владимирская область;b8837188-39ee-4ff9-bc91-fcc9ed451bb3;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
62;Республика Коми;c20180d9-ad9c-46d1-9eff-d60bc424592a;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
71;Республика Саха (Якутия);c225d3db-1db6-4063-ace0-b3fe9ea3805f;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
78;г. Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
39;Пензенская область;c99e7924-0428-4107-a302-4fd7c0cca3ff;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
50;Тульская область;d028ec4f-f6da-4843-ada6-b68b3e0efa3d;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
22;Камчатский край;d02f30fc-83bf-4c0f-ac2b-5729a866a207;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
87;Ханты-Мансийский автономный округ;d66e5325-3a25-4d29-ba86-4ca351d9704b;Y;6;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
13;Волгоградская область;da051ec8-da2e-4a66-b542-473b8d221ab4;Y;2;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
3;Красноярский край;db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
63;Республика Марий Эл;de2cbfdf-9662-44a4-a4a4-8ad237ae4a3e;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
