id;name;base_unit_id;ratio;guid;last;uuid;base_unit_uuid;base_unit_guid
2;кг;2;1;21ed96c9-337b-4a27-8761-c6e6ad3c9f5b;Y;069792f0-053d-11e1-99b4-d8d385fbc9e8;069792f0-053d-11e1-99b4-d8d385fbc9e8;069792f0-053d-11e1-99b4-d8d385fbc9e8
3;шт.;3;1;6606dc4a-d415-4e19-8acd-01c6d4a89e18;Y;069793a4-053d-11e1-99b4-d8d385fbc9e8;069793a4-053d-11e1-99b4-d8d385fbc9e8;069793a4-053d-11e1-99b4-d8d385fbc9e8
6;доза;6;1;149a87a8-e4af-47f9-a6cf-9d6d8138cc76;Y;0697955c-053d-11e1-99b4-d8d385fbc9e8;0697955c-053d-11e1-99b4-d8d385fbc9e8;0697955c-053d-11e1-99b4-d8d385fbc9e8
8;семья;8;1;c1c0f81d-0279-406a-b89b-26640c8c98bf;Y;06979674-053d-11e1-99b4-d8d385fbc9e8;06979674-053d-11e1-99b4-d8d385fbc9e8;06979674-053d-11e1-99b4-d8d385fbc9e8
9;бочка;9;1;52082c55-8628-409f-818c-80a02632c09f;Y;069796f6-053d-11e1-99b4-d8d385fbc9e8;069796f6-053d-11e1-99b4-d8d385fbc9e8;069796f6-053d-11e1-99b4-d8d385fbc9e8
13;голова;13;1;4c7c19ff-a24c-49da-b4e9-d64a8dd6ce94;Y;06979926-053d-11e1-99b4-d8d385fbc9e8;06979926-053d-11e1-99b4-d8d385fbc9e8;06979926-053d-11e1-99b4-d8d385fbc9e8
21;мл;21;1;864afd62-35c2-4da7-94e3-85aaaf2243f0;Y;06979c78-053d-11e1-99b4-d8d385fbc9e8;06979c78-053d-11e1-99b4-d8d385fbc9e8;06979c78-053d-11e1-99b4-d8d385fbc9e8
23;мг;23;1;2ed1cbda-22a4-4f3c-9865-dd47be2c655e;Y;0697a470-053d-11e1-99b4-d8d385fbc9e8;0697a470-053d-11e1-99b4-d8d385fbc9e8;0697a470-053d-11e1-99b4-d8d385fbc9e8
11;метр;38;1;39154bdf-cb89-443f-af93-8345dd9042d0;N;0697980e-053d-11e1-99b4-d8d385fbc9e8;3064373f-4e9d-4e0d-33cc-e23d510d8bfa;3064373f-4e9d-4e0d-33cc-e23d510d8bfa
28;метр;38;1;39154bdf-cb89-443f-af93-8345dd9042d0;N;6921b28e-890f-2ba1-2dec-5fcd16af7863;3064373f-4e9d-4e0d-33cc-e23d510d8bfa;3064373f-4e9d-4e0d-33cc-e23d510d8bfa
38;метр;38;1;39154bdf-cb89-443f-af93-8345dd9042d0;Y;3064373f-4e9d-4e0d-33cc-e23d510d8bfa;3064373f-4e9d-4e0d-33cc-e23d510d8bfa;3064373f-4e9d-4e0d-33cc-e23d510d8bfa
40;флакон;40;1;fe6b50e4-9bab-4d87-bfa9-06e37df6853d;Y;b0c0369c-d6c4-a291-d3ce-01c73fd52b33;b0c0369c-d6c4-a291-d3ce-01c73fd52b33;b0c0369c-d6c4-a291-d3ce-01c73fd52b33
24;флакон;40;1;fe6b50e4-9bab-4d87-bfa9-06e37df6853d;N;0697a506-053d-11e1-99b4-d8d385fbc9e8;b0c0369c-d6c4-a291-d3ce-01c73fd52b33;b0c0369c-d6c4-a291-d3ce-01c73fd52b33
36;флакон;40;1;fe6b50e4-9bab-4d87-bfa9-06e37df6853d;N;4cab6b18-6ad7-e442-fd93-e7fcadf3cd5a;b0c0369c-d6c4-a291-d3ce-01c73fd52b33;b0c0369c-d6c4-a291-d3ce-01c73fd52b33
41;канистра;41;1;8a080965-fd21-4fb3-b635-efed9515ec34;Y;19d80caa-a5a5-405c-dd8b-e50a286af171;19d80caa-a5a5-405c-dd8b-e50a286af171;19d80caa-a5a5-405c-dd8b-e50a286af171
30;канистра;41;1;8a080965-fd21-4fb3-b635-efed9515ec34;N;530399fe-790b-e32c-b1e8-3be38a4ce98e;19d80caa-a5a5-405c-dd8b-e50a286af171;19d80caa-a5a5-405c-dd8b-e50a286af171
27;канистра;41;1;8a080965-fd21-4fb3-b635-efed9515ec34;N;0697a6b4-053d-11e1-99b4-d8d385fbc9e8;19d80caa-a5a5-405c-dd8b-e50a286af171;19d80caa-a5a5-405c-dd8b-e50a286af171
42;коробка;42;1;4a55ffa0-b0a6-4ba5-a841-c0333fcd056b;Y;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4
7;коробка;42;1;4a55ffa0-b0a6-4ba5-a841-c0333fcd056b;N;069795e8-053d-11e1-99b4-d8d385fbc9e8;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4
31;коробка;42;1;4a55ffa0-b0a6-4ba5-a841-c0333fcd056b;N;39ecbc8e-0539-a59a-dc4d-c9a40c5fe61d;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4;ad7c9d8e-d20f-5bd6-21e1-ff2536b7d0c4
