guid;name;alpha2;alpha3;numCode
37d53c60-1473-dc32-3532-d8e9e2d6300e;Острова Кука;CK;COK;184
27870fdd-36e4-7a37-66ca-cb91a9f6f9d5;Коста-Рика;CR;CRI;188
790fd011-3bf6-ce20-8e4d-a83db4793341;Хорватия;HR;HRV;191
9b4c8575-26b1-acff-c2f6-eca590444077;Куба;CU;CUB;192
38799e3d-16eb-0f3d-e899-021f4284f250;Кипр;CY;CYP;196
109b19d1-becc-16d3-812b-2855de90be9c;Чешская Республика;CZ;CZE;203
2d25ac7f-f71e-42ba-99ea-4e4d28aeaa0c;Бенин;BJ;BEN;204
91c5e95b-a17d-44f2-a180-bbb606229f6c;Дания;DK;DNK;208
961fb306-b59c-6d46-c887-3623ef9c420e;Доминика;DM;DMA;212
1df0c1f8-4396-fe00-e868-c7614bfb5a81;Доминиканская республика;DO;DOM;214
0b17bb05-3bff-3652-706d-61f9ece97d34;Эквадор;EC;ECU;218
b8c50d7f-10c2-eb56-47c5-5621474af598;Эль-Сальвадор;SV;SLV;222
98e1d721-5208-d1e8-38f1-f71ffa195346;Экваториальная Гвинея;GQ;GNQ;226
d4c69717-4ef3-e424-46a1-1b00c9d5a6f7;Эфиопия;ET;ETH;231
786dc5a1-2c8c-4d47-660f-f8a2d28684a1;Эритрея;ER;ERI;232
2dc34c95-d55f-55cf-afbd-4db6372527b7;Эстония;EE;EST;233
453b97ed-b88d-acf5-5c1e-6c1bc66962a0;Фарерские острова;FO;FRO;234
9ad7a039-84a5-c222-378d-d984934de066;Фолклендские Острова (Мальвинские);FK;FLK;238
fa69a211-edf8-4811-b1c5-32a57d87c417;Южная Джорджия и Южные Сандвичевы Острова;GS;SGS;239
e849917d-9b97-8c0c-bfd4-dc03b6dad0a8;Фиджи;FJ;FJI;242
1de83f6d-5a96-41ec-f456-1413b374750b;Финляндия;FI;FIN;246
2a971188-5258-4903-b21b-0afa2828f077;Эландские Острова;AX;ALA;248
215ce19c-4973-3160-71b9-e93df6d8837e;Франция;FR;FRA;250
b8da5aec-593a-68bf-0690-62016a5a896f;Французская Гвиана;GF;GUF;254
cf6a74c1-73c5-37b4-f9d9-aff4cd2d986c;Французская Полинезия;PF;PYF;258
afe3e69a-31b1-4c9a-8647-f073c91b1bd8;Французские Южные Территории;TF;ATF;260
f60dfd47-31de-f705-e130-4b7042b4d2ab;Джибути;DJ;DJI;262
17e1c07c-c7cd-19cb-db1a-98504ae6603c;Габон;GA;GAB;266
62768b23-14c1-bde6-341e-d237d1388e44;Грузия;GE;GEO;268
2df54bec-e9d2-9d34-af2d-d8d31c325723;Гамбия;GM;GMB;270
d23bf0a2-8fbf-4e73-a42c-2197429e8a47;Палестинская территория, Оккупированная;PS;PSE;275
3593e702-447f-4af8-e8b1-a9a95905c3f8;Германия;DE;DEU;276
fb0d59cf-6f9a-f425-0d5b-9b248c81cfe3;Гана;GH;GHA;288
05295353-e5af-1cbd-60f2-0e0c05340ba1;Гибралтар;GI;GIB;292
89fc3b34-a908-7202-a1fa-215c002c72e8;Кирибати;KI;KIR;296
2812a1ba-7e8a-418c-43e5-1f400c3cd5db;Греция;GR;GRC;300
7b19774d-c3ef-11b2-a620-31cf63051849;Гренландия;GL;GRL;304
48a37896-d684-7f46-f94c-f7749e4de517;Гренада;GD;GRD;308
d281148e-90fc-910d-36b9-366ff39e7d01;Гваделупа;GP;GLP;312
7f68f68b-a54f-2b1d-9635-27177b9dd49d;Гуам;GU;GUM;316
882f3b81-3c84-7ea6-9886-63f20d5941d8;Гватемала;GT;GTM;320
c17bcb6a-a6eb-f9d4-6872-3c784445f5ff;Гвинея;GN;GIN;324
52a0a948-d72a-5b0d-e3d9-183b211d1367;Гайана;GY;GUY;328
79bad0dd-2583-f661-bfa9-62a1ee6d0474;Гаити;HT;HTI;332
6746888c-ae7e-4301-8e1e-d810e4ee5380;Остров Херд и Острова Макдональд;HM;HMD;334
f87ca450-f577-a146-9364-8a0612a56a6c;Папский Престол (Государство - Город Ватикан);VA;VAT;336
639f6faf-3d1a-4734-34c7-61ccea601f6c;Гондурас;HN;HND;340
8c838e22-7a84-bbe2-d173-902c3718b8c0;Гонконг;HK;HKG;344
3e5a36ce-52ba-5d81-7614-01179e5436fb;Венгрия;HU;HUN;348
df7b0a71-ef4c-7c30-c77f-4e49b3ffd992;Исландия;IS;ISL;352
a3eef133-57cd-2c37-ce3c-9c4d287b640c;Индия;IN;IND;356
9985aef0-13e5-a3d7-9965-2fd13d8f4aa6;Индонезия;ID;IDN;360
0e54a221-aa79-9dbd-2539-8707d193c922;Иран, Исламская Республика;IR;IRN;364
64b4ce8a-9000-a758-51af-2295ee1fe0d9;Ирак;IQ;IRQ;368
00dcc230-c1ab-9f23-89a5-11bf22b0985b;Ирландия;IE;IRL;372
2e9ffcf5-4af1-3505-cd76-fd362ea43bac;Израиль;IL;ISR;376
5a443bfa-fbc7-d188-dc83-6365828eacdc;Италия;IT;ITA;380
f1f5e165-bc07-fb39-a1f2-4f467a86a218;Кот д`Ивуар;CI;CIV;384
47b0a3c5-12b3-01a3-f2df-9608e6e44abb;Ямайка;JM;JAM;388
71ee199a-7f23-781a-57e4-f66be8216bb2;Япония;JP;JPN;392
d90bf64b-8f06-9921-7964-97e08b7114af;Казахстан;KZ;KAZ;398
5cb16aa0-7f13-3d9e-ba9a-76f378b3323c;Иордания;JO;JOR;400
a0c95605-a77d-8895-9ca2-7b95cf905b49;Кения;KE;KEN;404
540564e9-7f32-cbc6-0c2e-97ad4e69f1c6;Ливан;LB;LBN;422
f6ab2f25-85bc-2049-df12-84a9a1c483df;Лесото;LS;LSO;426
85c23973-64bc-cef9-ac96-72ae6347eafa;Латвия;LV;LVA;428
af99eb97-e75d-f5b9-70ad-c788a8f8fb59;Либерия;LR;LBR;430
003cceb9-9d05-4e3e-2fcf-34540e0a54c9;Ливия;LY;LBY;434
28855830-3b88-6600-0001-b030a82f15ac;Лихтенштейн;LI;LIE;438
c79c79e2-8808-3e44-e872-bdeb2cd4cd24;Литва;LT;LTU;440
b9290b65-be46-9be6-8771-ebad4d580e95;Люксембург;LU;LUX;442
68c0d138-9abc-1424-5822-e11ff12e17c6;Макао;MO;MAC;446
63798893-5239-8ff3-77c3-fcc8a2feba23;Мадагаскар;MG;MDG;450
378aac08-a498-8032-6aa9-d7467e65eaf3;Малави;MW;MWI;454
79ab7c85-83b9-0824-a418-dd636fdb4bde;Малайзия;MY;MYS;458
7948c3cd-d3ff-2554-cef3-a4f6b9caa2f3;Мальдивы;MV;MDV;462
24336a77-a653-c85f-ed2b-e6d50f3a61af;Мали;ML;MLI;466
88d45d13-9e7f-efd4-b686-7a5389595967;Мальта;MT;MLT;470
c682269b-e3a5-1424-c35d-b1aeb30ef634;Мартиника;MQ;MTQ;474
12eeab27-25cc-5a99-ce46-b21ae1c0721f;Мавритания;MR;MRT;478
867e4d97-ce6d-d352-e56c-ae9d7dc29561;Маврикий;MU;MUS;480
6bb90229-f35e-29c5-7b85-09efd4d3593e;Мексика;MX;MEX;484
0b2394b5-0233-976c-77cd-fd148053559c;Монако;MC;MCO;492
b8065845-338b-6ca9-a299-96adb19e9a23;Монголия;MN;MNG;496
e73fb63a-8b11-83e5-f3d9-dee3b11bc89b;Молдова, Республика;MD;MDA;498
af15fb9e-d815-c1b0-d8d7-d70791f836f3;Черногория;ME;MNE;499
71fcef59-cfdc-a6e8-2846-61920f65d107;Монтсеррат;MS;MSR;500
e8ef0cac-ce0e-e08d-56a2-b1564ea88c04;Марокко;MA;MAR;504
6fd7e1ca-637e-b286-a9d3-4cb6ec39a7e1;Мозамбик;MZ;MOZ;508
8d797294-148b-2e87-ec6e-1fe0b761eede;Оман;OM;OMN;512
593d2ffc-4176-e7e6-48ce-a7176d16e88a;Намибия;NA;NAM;516
7991b004-8b99-af3a-49cb-a72d5bf86344;Науру;NR;NRU;520
ed953204-ba7d-5e04-ac2d-ff045a9be666;Непал;NP;NPL;524
7a56e670-eb75-2dcd-4912-81bc920b2d92;Нидерланды;NL;NLD;528
a013889c-5a3d-4fbb-8b4d-f1df7f5be4ea;Кюрасао;CW;CUW;531
0e1f7542-5a60-dc0a-e808-d5e30d778547;Аруба;AW;ABW;533
f74430c1-8c3c-44ca-8bf3-b01c3aee7b53;Синт-Мартен (нидерландская часть);SX;SXM;534
ac92e244-9838-43f0-a286-c1046dc0a76e;Бонэйр, Синт-Эстатиус и Саба;BQ;BES;535
989c40da-b33d-23a7-1dba-21b116ae56df;Новая Каледония;NC;NCL;540
96027137-2f86-75ad-993b-3970143c1842;Вануату;VU;VUT;548
d313ac46-efe1-016c-76b6-869ca6c07de7;Новая Зеландия;NZ;NZL;554
88bbb03c-787c-be4c-2ac1-777d88a2b0fd;Никарагуа;NI;NIC;558
60687521-ec6a-7959-ae60-e322440a0cf9;Нигер;NE;NER;562
67bee711-3b17-9250-971d-3bda846ef846;Нигерия;NG;NGA;566
6a94709d-7eb8-cf21-bb11-da14cb412269;Ниуэ;NU;NIU;570
8f57cdd8-5346-3945-a738-5f8004fe223c;Остров Норфолк;NF;NFK;574
bfda99bc-38a9-44d5-0bbe-f04e944692a1;Норвегия;NO;NOR;578
316cd42d-954a-405e-81ad-070f9e59c574;Северные Марианские острова;MP;MNP;580
19b4ba3f-db9e-47b6-aa94-540ad6456b59;Малые Тихоокеанские Отдаленные Острова Соединенных Штатов;UM;UMI;581
57c84851-5c35-8c9a-f9b3-006433678371;Микронезия, Федеративные Штаты;FM;FSM;583
a6226e66-10d2-7f46-de62-a472fc193ec9;Маршалловы Острова;MH;MHL;584
f536f820-f36d-0cb7-ba62-28fcef99c437;Палау;PW;PLW;585
61fe283a-19d3-aad4-2bbb-e89ad5b2c16e;Пакистан;PK;PAK;586
b174ccb8-f5e2-c8c9-3276-78563a2c2ac2;Панама;PA;PAN;591
83fcff0c-3818-7ccd-d5b4-0dc7cf30ef00;Папуа-Новая Гвинея;PG;PNG;598
82302d5c-a868-c0b6-d516-9f8e9ce6277d;Парагвай;PY;PRY;600
de95672d-5a39-c981-8b46-ec52a1e1994d;Перу;PE;PER;604
